chapter,pos_tag,count,percentage
67,PRON,5,1.41
67,SCONJ,7,1.98
67,VERB,75,21.19
68,ADJ,7,1.41
68,ADP,2,0.4
68,ADV,10,2.02
68,AUX,2,0.4
68,CCONJ,3,0.61
68,NOUN,362,73.13
68,PART,1,0.2
68,PRON,12,2.42
68,PROPN,4,0.81
68,SCONJ,2,0.4
68,VERB,90,18.18
69,ADJ,7,1.98
69,ADV,14,3.97
69,AUX,3,0.85
69,CCONJ,1,0.28
69,DET,2,0.57
69,NOUN,235,66.57
69,NUM,1,0.28
69,PRON,1,0.28
69,PROPN,1,0.28
69,SCONJ,9,2.55
69,VERB,79,22.38
70,ADJ,10,3.34
70,ADP,3,1.0
70,ADV,1,0.33
70,DET,5,1.67
70,NOUN,202,67.56
70,NUM,4,1.34
70,PRON,3,1.0
70,PROPN,1,0.33
70,SCONJ,7,2.34
70,VERB,63,21.07
71,ADJ,10,2.62
71,ADP,3,0.79
71,ADV,12,3.15
71,AUX,6,1.57
71,DET,2,0.52
71,NOUN,258,67.72
71,PART,1,0.26
71,PRON,4,1.05
71,PROPN,9,2.36
71,SCONJ,1,0.26
71,VERB,75,19.69
72,ADJ,1,0.27
72,ADP,4,1.1
72,ADV,10,2.74
72,AUX,5,1.37
72,DET,2,0.55
72,NOUN,265,72.6
72,NUM,3,0.82
72,PART,1,0.27
72,PROPN,5,1.37
72,VERB,69,18.9
73,ADJ,11,2.71
73,ADV,8,1.97
73,AUX,7,1.72
73,CCONJ,7,1.72
73,DET,4,0.99
73,NOUN,268,66.01
73,PRON,5,1.23
73,PROPN,5,1.23
73,SCONJ,6,1.48
73,VERB,85,20.94
74,ADJ,9,1.72
74,ADP,5,0.95
74,ADV,9,1.72
74,AUX,6,1.15
74,CCONJ,2,0.38
74,DET,3,0.57
74,NOUN,373,71.18
74,PRON,13,2.48
74,SCONJ,4,0.76
74,VERB,100,19.08
75,ADJ,6,1.99
75,ADV,7,2.33
75,AUX,7,2.33
75,CCONJ,4,1.33
75,DET,4,1.33
75,NOUN,200,66.45
75,PRON,4,1.33
75,PROPN,2,0.66
75,VERB,67,22.26
76,ADJ,3,0.93
76,ADP,4,1.24
76,ADV,6,1.86
76,AUX,4,1.24
76,CCONJ,2,0.62
76,DET,1,0.31
76,NOUN,221,68.63
76,PART,1,0.31
76,PRON,8,2.48
76,PROPN,5,1.55
76,SCONJ,6,1.86
76,VERB,61,18.94
77,ADJ,3,1.17
77,ADV,3,1.17
77,NOUN,206,80.16
77,NUM,2,0.78
77,PRON,2,0.78
77,PROPN,2,0.78
77,SCONJ,2,0.78
77,VERB,37,14.4
78,ADJ,7,1.15
78,ADP,7,1.15
78,ADV,22,3.61
78,AUX,5,0.82
78,DET,2,0.33
78,NOUN,397,65.19
78,NUM,3,0.49
78,PRON,10,1.64
78,PROPN,20,3.28
78,SCONJ,13,2.13
78,VERB,123,20.2
79,ADJ,4,1.05
79,ADP,2,0.53
79,ADV,1,0.26
79,AUX,1,0.26
79,DET,1,0.26
79,NOUN,278,73.16
79,NUM,1,0.26
79,PRON,10,2.63
79,PROPN,8,2.11
79,SCONJ,2,0.53
79,VERB,72,18.95
80,ADJ,5,1.26
80,ADV,4,1.01
80,DET,4,1.01
80,NOUN,274,68.84
80,NUM,3,0.75
80,PART,1,0.25
80,PRON,8,2.01
80,PROPN,13,3.27
80,VERB,86,21.61
81,ADJ,7,1.78
81,ADP,7,1.78
81,ADV,13,3.31
81,AUX,9,2.29
81,DET,2,0.51
81,NOUN,194,49.36
81,NUM,4,1.02
81,PART,2,0.51
81,PRON,26,6.62
81,PROPN,3,0.76
81,SCONJ,19,4.83
81,VERB,107,27.23
82,ADJ,12,1.91
82,ADP,3,0.48
82,ADV,18,2.87
82,AUX,3,0.48
82,CCONJ,5,0.8
82,DET,4,0.64
82,NOUN,390,62.1
82,NUM,2,0.32
82,PRON,32,5.1
82,PROPN,4,0.64
82,SCONJ,10,1.59
82,VERB,145,23.09
83,ADJ,3,0.87
83,ADP,2,0.58
83,ADV,5,1.45
83,AUX,3,0.87
83,CCONJ,3,0.87
83,DET,3,0.87
83,NOUN,229,66.57
83,PRON,5,1.45
83,PROPN,8,2.33
83,SCONJ,6,1.74
83,VERB,77,22.38
84,ADJ,10,1.42
84,ADP,4,0.57
84,ADV,17,2.42
84,AUX,6,0.85
84,DET,18,2.56
84,NOUN,421,59.97
84,NUM,3,0.43
84,PRON,16,2.28
84,PROPN,8,1.14
84,SCONJ,23,3.28
84,VERB,176,25.07
85,ADJ,9,2.13
85,ADV,6,1.42
85,AUX,2,0.47
85,DET,5,1.18
85,NOUN,324,76.78
85,NUM,2,0.47
85,PROPN,5,1.18
85,SCONJ,3,0.71
85,VERB,66,15.64
86,ADJ,7,1.87
86,ADP,3,0.8
