word,frequency,rank
พระพุทธศาสนา,36,524
ผู้คน,36,525
พระราชวัง,36,526
ท้อง,36,527
หนัง,36,528
เสนกะ,36,529
มะเดื่อ,36,530
บ่วง,35,531
บ้านของ,35,532
ความสุข,35,533
เหตุใด,35,534
อดีตชาติ,35,535
กาย,35,536
มณี,35,537
เอ้ย,35,538
โรง,35,539
บริเวณ,35,540
โกสิ,35,541
ญาติ,34,542
ภาพ,34,543
วัด,34,544
ไข่,34,545
บุญ,34,546
ทูล,34,547
เต็ม,34,548
สดับ,34,549
วาง,34,550
เด็กน้อย,34,551
ขอบใจ,34,552
ลอย,34,553
ลึก,34,554
หมาจิ้งจอก,34,555
บรรณศาลา,34,556
ทะเลาะ,34,557
โกง,34,558
กาลิง,34,559
แผ่น,33,560
เพียร,33,561
หอม,33,562
โพธิ,33,563
หนัก,33,564
เอาไว้,33,565
ทำงาน,33,566
ฮ้า,33,567
บึง,33,568
ดอก,33,569
ทีฆ,33,570
ก่อนที่จะ,33,571
สุวรรณ,33,572
สวรรค์,32,573
บาป,32,574
สาวัตถี,32,575
ธนู,32,576
ครอง,32,577
สละ,32,578
เด็กชาย,32,579
เล่ม,32,580
ลืม,32,581
จนได้,32,582
โน้น,32,583
ทาส,32,584
บิณฑบาต,32,585
กระสัน,32,586
ผัก,32,587
ธัมม,32,588
๕๐๐,32,589
สำเภา,31,590
พ้น,31,591
บุตรชาย,31,592
แห่งหนึ่ง,31,593
ปกครอง,31,594
ทัพ,31,595
โขลง,31,596
แม้แต่น้อย,31,597
ศรัทธา,31,598
มะพลับ,31,599
แย่,31,600
ภัตตาหาร,31,601
เสือโคร่ง,31,602
ชื่อว่า,31,603
เข็ม,31,604
แหม,30,605
เสวยพระชาติ,30,606
ออกเดินทาง,30,607
พระอัครสาวก,30,608
เจ็ด,30,609
คาถา,30,610
ไร่,30,611
สู้,30,612
วิเศษ,30,613
ที่อื่น,30,614
เหยียบ,30,615
เดี๋ยวนี้,30,616
ลอง,30,617
ไพเราะ,30,618
อยากได้,30,619
กอง,30,620
นะเนี่ย,30,621
สุกร,30,622
กาลนั้น,29,623
ขัน,29,624
เกียจคร้าน,29,625
เจ็บ,29,626
เหมาะสม,29,627
สินะ,29,628
ความจริง,29,629
ตัดสิน,29,630
ทอดพระเนตร,29,631
อาวุธ,29,632
ตะวัน,29,633
เก่า,29,634
ตรงนี้,29,635
ท่านทั้งหลาย,29,636
คิริ,29,637
ทัต,29,638
กิ้งก่า,29,639
สุว,29,640
โปดก,29,641
หวาน,28,642
สวยงาม,28,643
กิจ,28,644
พระนครพาราณสี,28,645
ศิลา,28,646
แห้ง,28,647
พระธรรมเทศนานี้,28,648
คาบ,28,649
ชาวนา,28,650
สนใจ,28,651
ราชกุมาร,28,652
โรค,28,653
ทำร้าย,28,654
หัวใจ,28,655
เผา,28,656
เพื่อน,28,657
แก้ปัญหา,28,658
ปาลกุมาร,28,659
บรรพชิต,28,660
พยักหน้า,28,661
เจ้าตัว,28,662
ที่พัก,27,663
พรุ่งนี้,27,664
จองจำ,27,665
เพศ,27,666
เสนท,27,667
หลบ,27,668
น้องชาย,27,669
ดูกร,27,670
กรรม,27,671
คัน,27,672
เลือด,27,673
ท่านพราหมณ์,27,674
ข้าวสาลี,27,675
บ่อน้ำ,27,676
ดอกไม้,26,677
ความทุกข์,26,678
กาล,26,679
ทั้งคู่,26,680
เดือน,26,681
คนรับใช้,26,682
งดงาม,26,683
พระพุทธ,26,684
มิต,26,685
มหิ,26,686
เล่าเรื่อง,26,687
หิม,26,688
หลุม,26,689
รูปนั้น,26,690
อาบน้ำ,26,691
ล้ม,26,692
สถานที่,26,693
อาการ,26,694
เสียใจ,26,695
ให้ทาน,26,696
าวุ,26,697
สังวร,26,698
อำนาจ,25,699
ครองราชสมบัติ,25,700
เศร้าโศก,25,701
ไอ้,25,702
กิ่งไม้,25,703
เลื่อมใส,25,704
ลงมา,25,705
ลาภ,25,706
อัครมเหสี,25,707
สัญญา,25,708
กบฏ,25,709
หยิบ,25,710
เกเร,25,711
สุดท้าย,25,712
อยู่แล้ว,25,713
หล่ะ,25,714
ขับ,25,715
เหม็น,25,716
บิดามารดา,25,717
วิ่งหนี,25,718
มาจาก,25,719
ปลาตัว,25,720
เสนาบดี,25,721
ผูก,25,722
เป๋,25,723
๑๐๐,25,724
โกหก,25,725
พอใจ,25,726
สีหน้า,25,727
สังข,25,728
หมา,24,729
พระอรหันต์,24,730
คนอื่น,24,731
สามา,24,732
ราชา,24,733
สินค้า,24,734
อุปราช,24,735
ถั่วดำ,24,736
สอน,24,737
ภาวนา,24,738
นิ่ง,24,739
สระน้ำ,24,740
ทำไม่,24,741
ลาก,24,742
ประชาชน,24,743
มหาชน,24,744
ช่างสลัก,24,745
ขอพระองค์,24,746
ตรงหน้า,24,747
เจ้าเล่ห์,24,748
เหลือง,24,749
ถล่ม,24,750
หมี,24,751
กาฬ,24,752
ยักษิณี,23,753
ปราก,23,754
เออ,23,755
กระดูก,23,756
ธรรมดา,23,757
พรหมจรรย์,23,758
ทรัพย์สมบัติ,23,759
แกล้ง,23,760
หือ,23,761
วินัย,23,762
ลอบ,23,763
ประกาศ,23,764
พระราชธิดา,23,765
ร้าย,23,766
ทุศีล,23,767
กุฏิ,23,768
บารมี,23,769
เอ่อ,23,770
ผู้ทรงศีล,23,771
ฝาก,23,772
หลวงพี่,23,773
ติเตียน,23,774
เดียรถีย์,23,775
อุบาย,23,776
เจ้าค่ะ,23,777
ความโกรธ,23,778
ถิ่น,23,779
ธนุ,23,780
ใบหน้า,23,781
แล้วนะ,22,782
ติด,22,783
ป่าช้า,22,784
สิบ,22,785
ซุ่ม,22,786
สัจธรรม,22,787
วรรณะ,22,788
ห้าม,22,789
ตั้งครรภ์,22,790
อาราธนา,22,791
เป็นประจำ,22,792
ดีนะ,22,793
จัน,22,794
เหมือนเดิม,22,795
อ้า,22,796
ทำตาม,22,797
โอวาท,22,798
ตกใจ,22,799
ควาย,22,800
ลูกจ้าง,22,801
หรอ,22,802
ดาบ,22,803
วัว,22,804
โสณ,22,805
มูลไถ,22,806
พัง,22,807
ลูกศิษย์,21,808
หัวเราะ,21,809
นั่นสิ,21,810
ปรารภ,21,811
พบเห็น,21,812
นครพาราณสี,21,813
ข่าว,21,814
ธรรมะ,21,815
โคดม,21,816
ทะเล,21,817
ประมาท,21,818
มคธ,21,819
ปลงพระชนม์,21,820
ล่า,21,821
ค้าขาย,21,822
นรก,21,823
ครองราชย์,21,824
เพคะ,21,825
สาวก,21,826
ลุง,21,827
หนอน,21,828
เบื่อ,21,829
โมคคัลลานะ,21,830
เลิก,21,831
กหาปณะ,21,832
โภช,21,833
ชาน,21,834
ม้ามงคล,21,835
อสูร,21,836
เลิศ,21,837
ดาบสนั้น,21,838
บ้างก็,21,839
แม่ผัว,21,840
ท่านฤๅษี,21,841
ความงาม,20,842
มีความสุข,20,843
มายัง,20,844
เป็นแน่,20,845
ปู่,20,846
กิ่ง,20,847
อันตราย,20,848
บุตรสาว,20,849
ภรรยาเก่า,20,850
ฟ้อนรำ,20,851
ยึด,20,852
ความโลภ,20,853
พิมพิสาร,20,854
ป่านี้,20,855
ดีใจ,20,856
ไหว้,20,857
ปรนนิบัติ,20,858
เทวธรรม,20,859
เหอะ,20,860
เทพ,20,861
ป่าใหญ่,20,862
ประเทศ,20,863
เจาะ,20,864
ท่านราชสีห์,20,865
จำพรรษา,20,866
เสวย,20,867
มโนชะ,20,868
เทพธิดา,20,869
อดีตกาล,20,870
ลูกศร,20,871
วันรุ่งขึ้น,20,872
ลูกพี่,20,873
อาบัติ,20,874
เข้ากับ,20,875
เด็กหนุ่ม,20,876
ถัง,20,877
สุมังคละ,20,878
สตรี,19,879
ปกติ,19,880
ย้าย,19,881
อุปัชฌาย์,19,882
ลุกขึ้น,19,883
หากิน,19,884
จับตัว,19,885
พ่อแม่,19,886
ค่อม,19,887
หลอก,19,888
อาสนะ,19,889
ไม่น่าเลย,19,890
ตัณหา,19,891
ราคา,19,892
ปราบ,19,893
ยกทัพ,19,894
ทรมาน,19,895
วิมาน,19,896
คุณธรรม,19,897
อือ,19,898
มุข,19,899
พลาย,19,900
ควาน,19,901
ท่านก็,19,902
ไฟไหม้,19,903
ขับไล่,19,904
คนเลี้ยง,19,905
ข้าน้อย,19,906
อ้อ,19,907
กินกัน,19,908
เสื้อผ้า,19,909
เป็นที่รัก,19,910
ดิฉัน,19,911
อกตัญญู,19,912
เตียง,19,913
ด้วน,19,914
ขวิด,19,915
สาคร,19,916
นาก,19,917
ส่งผล,19,918
กระเรียน,19,919
หงส์ทอง,19,920
